Model|Year|BodyStyle|Platform|DedicatedBEV|Manufacturer|Origin
Mini Aceman|2024|Crossover SUV||Yes|Mini/BMW|United Kingdom
Nissan Ariya|2021|Crossover SUV|AmpR Medium|Yes|Nissan|Japan
Nissan Leaf|2010|Hatchback/Crossover SUV|AmpR Medium|Yes|Nissan|Japan
Nissan Sakura|2022|Hatchback|KEI-EV|Yes|NMKV|Japan
Opel Astra Electric|2023|Hatchback|EMP2 V3|No|Stellantis|Germany/United Kingdom
Opel Corsa Electric|2019|Hatchback|eCMP|No|Stellantis|Germany/United Kingdom
Opel Mokka-e|2020|Crossover SUV|eCMP|No|Stellantis|Germany/United Kingdom
Opel Frontera Electric|2024|Crossover SUV|Smart Car|No|Stellantis|Germany/United Kingdom
Opel Grandland Electric|2024|Crossover SUV|STLA Medium|No|Stellantis|Germany/United Kingdom
Peugeot e-208|2019|Hatchback|eCMP|No|Stellantis|France
Peugeot e-2008|2020|Crossover SUV|eCMP|No|Stellantis|France
Peugeot e-308|2022|Hatchback|EMP2 V3|No|Stellantis|France
Peugeot e-3008|2024|Crossover SUV|STLA Medium|No|Stellantis|France
Peugeot e-408|2024|Crossover SUV|EMP2 V3|No|Stellantis|France
Peugeot e-5008|2024|Crossover SUV|STLA Medium|No|Stellantis|France
Polestar 2|2020|Liftback|CMA|Yes|Volvo Cars|Sweden
Polestar 3|2024|Crossover SUV|SPA2|Yes|Volvo Cars|Sweden
Polestar 4|2023|Crossover SUV|SEA|Yes|Volvo Cars|Sweden
Porsche Cayenne|2026|Crossover SUV|PPE|Yes|Porsche|Germany
Porsche Macan|2024|Crossover SUV|PPE|Yes|Porsche|Germany
Porsche Taycan|2019|Sedan and shooting brake|J1|Yes|Porsche|Germany
Renault 4 E-Tech|2025|Crossover SUV|AmpR Small|Yes|Renault|France
Renault 5 E-Tech|2024|Hatchback|AmpR Small|Yes|Renault|France
Renault Megane E-Tech Electric|2022|Crossover SUV|AmpR Medium|Yes|Renault|France
Renault Scenic E-Tech|2024|Crossover SUV|AmpR Medium|Yes|Renault|France
Rimac Nevera|2021|Coupe||Yes|Rimac Automobili|Croatia
Rivian R1S|2022|SUV||Yes|Rivian|United States
Rivian R1T|2021|Pickup truck||Yes|Rivian|United States
Rivian R2|2026|SUV||Yes|Rivian|United States
Rolls-Royce Spectre|2023|Coupe|Architecture of Luxury|Yes|Rolls-Royce|United Kingdom
Skoda Enyaq|2020|Crossover SUV|MEB|Yes|Skoda Auto|Czech Republic
Skoda Elroq|2025|Crossover SUV|MEB|Yes|Skoda Auto|Czech Republic
Smart #1|2022|Crossover SUV|SEA2|Yes|Smart Automobile (produced by Geely)|Germany
Smart #3|2023|Crossover SUV|SEA2|Yes|Smart Automobile (produced by Geely)|Germany
Smart #5|2024|Crossover SUV|PMA2+|Yes|Smart Automobile (produced by Geely)|Germany
Subaru Solterra|2022|Crossover SUV|e-TNGA/e-SGP|Yes|Subaru (produced by Toyota)|Japan
Suzuki e Vitara|2025|Crossover SUV|Heartect-e|Yes|Suzuki|Japan
Tata Nexon.ev|2020|Crossover SUV||No|Tata Motors Passenger Vehicles|India
Tata Punch.ev|2024|Crossover SUV|Acti.ev|Yes|Tata Motors Passenger Vehicles|India
Tata Harrier.ev|2024|Crossover SUV|Acti.ev|Yes|Tata Motors Passenger Vehicles|India
Tata Curvv.ev|2024|Crossover SUV|Acti.ev|Yes|Tata Motors Passenger Vehicles|India
Tata Tiago.ev|2022|Hatchback||No|Tata Motors Passenger Vehicles|India
Tata Tigor EV|2022|Sedan||No|Tata Motors Passenger Vehicles|India
Tesla Cybertruck|2023|Pickup||Yes|Tesla, Inc.|United States
Tesla Model 3|2016|Sedan|Model 3|Yes|Tesla, Inc.|United States
Tesla Model Y|2020|Crossover SUV|Model 3|Yes|Tesla, Inc.|United States
Toyota bZ4X/bZ|2022|Crossover SUV|e-TNGA|Yes|Toyota|Japan
Toyota C-HR+/C-HR|2025|Crossover SUV|e-TNGA|Yes|Toyota|Japan
VinFast VF e34|2021|Crossover SUV||Yes|VinFast|Vietnam
VinFast VF 3|2024|Crossover SUV||Yes|VinFast|Vietnam
VinFast VF 5|2023|Crossover SUV||Yes|VinFast|Vietnam
VinFast VF 6|2024|Crossover SUV||Yes|VinFast|Vietnam
VinFast VF 7|2024|Crossover SUV||Yes|VinFast|Vietnam
VinFast VF 8|2022|Crossover SUV||Yes|VinFast|Vietnam
VinFast VF 9|2023|Crossover SUV||Yes|VinFast|Vietnam
Volkswagen ID.3|2020|Hatchback|MEB|Yes|Volkswagen|Germany
Volkswagen ID.4|2020|Crossover SUV|MEB|Yes|Volkswagen|Germany
Volkswagen ID.5|2022|Crossover SUV|MEB|Yes|Volkswagen|Germany
Volkswagen ID.7|2023|Liftback|MEB|Yes|Volkswagen|Germany
Volkswagen ID. Buzz|2022|MPV/minivan|MEB|Yes|Volkswagen|Germany
Volvo EC40|2021|Crossover SUV|CMA|No|Volvo Cars|Sweden
Volvo ES90|2025|Liftback|SPA2|Yes|Volvo Cars|Sweden
Volvo EX30|2023|Crossover SUV|SEA|Yes|Volvo Cars|Sweden
Volvo EX40|2020|Crossover SUV|CMA|No|Volvo Cars|Sweden
Volvo EX90|2024|Crossover SUV|SPA2|Yes|Volvo Cars|Sweden
