Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,churn_flag,Age_Group,Tenure_Group,Customer_Lifecycle,Revenue_Per_Month,Total_Extra_Charges,Net_Revenue,Charge_Revenue_Ratio,Revenue_to_Charge_Ratio,Referral_Group,Has_Referral,Service_Count,Streaming_Service_Count,Protection_Service_Count,Has_Phone_Service,Has_Multiple_Lines,Is_Long_Term_Contract,Has_Internet,Has_Online_Security,Is_Automatic_Payment,Is_Paperless,Has_Value_Deal,Average_Charge_Per_Month,Charge_Difference,Refund_Rate,Extra_Charge_Ratio,Revenue_Segment,Age_MonthlyCharge_Interaction,State_Avg_Revenue,Revenue_vs_State_Avg,Contract_Avg_Charge,Revenue_Percentile,State_Revenue_Rank
45397-RAJ,Male,48,Yes,Rajasthan,0,1,NO DEAL,No,No,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,Stayed,Others,Others,0,Senior,0-6 Months,New,2460.55,0.0,2460.55,0.0183698766535937,54.43694690265487,No Referral,0,4,1,2,0,0,1,1,1,0,0,0,2460.55,-2415.3500000000004,0.0,0.0,High Value,2169.6000000000004,3108.804826254826,-648.2548262548257,61.249883653286794,0.5431598628856341,123.0
53023-UTT,Male,26,Yes,Uttar Pradesh,6,22,NO DEAL,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,Stayed,Others,Others,0,Young Adult,13-24 Months,Growing,436.79409090909087,1152.72,9609.47,0.0121546765846607,82.27285958904109,High,1,10,3,4,1,1,1,1,1,0,1,0,384.39772727272725,-267.59772727272724,0.0,0.1199566677454636,Very High Value,3036.8,3041.5530683624797,6567.916931637519,61.249883653286794,0.9732003739482705,20.0
13717-UTT,Male,56,Yes,Uttar Pradesh,15,26,NO DEAL,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,Stayed,Others,Others,0,Senior,25-48 Months,Established,17.10576923076923,93.25,444.75,0.1550309162450815,6.45032632342277,High,1,2,0,0,1,0,0,1,0,0,1,0,13.51923076923077,55.43076923076923,0.0,0.2096683530073075,Low Value,3861.2,3041.5530683624797,-2596.8030683624797,64.55887096774194,0.2126051729510751,498.0
71897-MAH,Female,36,Yes,Maharashtra,8,6,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,Stayed,Others,Others,0,Middle Age,0-6 Months,New,1237.2083333333333,162.0,7423.25,0.0136463139460478,73.27986179664363,High,1,7,1,3,1,1,1,1,1,0,1,0,1210.2083333333333,-1108.9083333333333,0.0,0.0218233253628801,Very High Value,3646.8,3249.5820634920638,4173.667936507936,61.249883653286794,0.8896852602056715,69.0
15776-UTT,Female,38,Yes,Uttar Pradesh,1,19,NO DEAL,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,Stayed,Others,Others,0,Middle Age,13-24 Months,Growing,134.7421052631579,0.0,2560.1,0.0175969688684035,56.827968923418425,Low,1,5,0,4,0,0,1,1,1,0,0,0,134.7421052631579,-89.6921052631579,0.0,0.0,High Value,1711.9,3041.5530683624797,-481.4530683624798,61.249883653286794,0.557494546587722,280.0
56731-BIH,Female,53,Yes,Bihar,5,8,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,Stayed,Others,Others,0,Senior,7-12 Months,Growing,1098.1075,1935.46,8784.86,0.0108994337986035,91.74788511749348,Medium,1,7,2,2,1,1,1,1,0,0,1,0,856.175,-760.425,0.0,0.2203176829226646,Very High Value,5074.75,2790.485327380952,5994.374672619048,61.249883653286794,0.9512309130570271,18.0
49302-GUJ,Female,47,No,Gujarat,14,4,NO DEAL,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,Stayed,Others,Others,0,Senior,0-6 Months,New,498.3,0.0,1993.2,0.0307294802327914,32.542040816326534,High,1,7,3,3,0,0,1,1,1,0,0,0,498.3,-437.05,0.0,0.0,Medium Value,2878.75,3057.1323582089553,-1063.9323582089553,64.46928520877566,0.48457463384231847,179.0
93520-GUJ,Female,67,No,Gujarat,13,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,Others,Others,0,Elder,13-24 Months,Growing,4.203684210526316,7.77,79.87,0.9027169149868536,1.1077669902912624,High,1,3,0,0,1,1,1,1,0,0,1,0,3.794736842105263,68.30526315789473,0.0,0.0972830850131463,Low Value,4830.7,3057.1323582089553,-2977.2623582089554,64.46928520877566,0.05235275786849486,322.0
73360-AND,Female,74,No,Andhra Pradesh,0,30,NO DEAL,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,1,Elder,25-48 Months,Established,109.055,480.15,3271.65,0.0191646416945577,52.17942583732057,No Referral,0,5,1,2,1,0,1,1,1,0,0,0,93.05,-30.349999999999994,0.0,0.1467608087662188,High Value,4639.8,3016.3476708860762,255.30232911392386,64.46928520877566,0.6324400124649423,152.0
36756-MAD,Male,64,Yes,Madhya Pradesh,15,33,NO DEAL,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,1,Elder,25-48 Months,Established,0.7606060606060606,0.0,25.1,1.0,1.0,High,1,1,0,0,0,0,0,1,0,0,1,0,0.7606060606060606,24.33939393939394,0.0,0.0,Low Value,1606.4,3090.985,-3065.885,64.55887096774194,0.005219694608912434,286.0
11925-MAH,Female,78,Yes,Maharashtra,12,12,NO DEAL,Yes,Yes,No,No Type,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,Stayed,Others,Others,0,Elder,7-12 Months,Growing,239.8166666666667,1571.5,2877.8,0.0087566891375356,114.19841269841272,High,1,2,0,0,1,1,1,0,0,0,0,0,108.85833333333332,-83.65833333333333,0.0,0.5460768642713183,High Value,1965.6,3249.5820634920638,-371.78206349206357,64.46928520877566,0.592240573387348,228.0
87346-MAD,Female,29,Yes,Madhya Pradesh,12,20,NO DEAL,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,1,Young Adult,13-24 Months,Growing,89.09400000000001,566.28,1781.88,0.0528093923272049,18.936025504782148,High,1,6,1,2,1,1,0,1,0,0,0,0,60.78,33.32,0.0,0.3177991783958515,Medium Value,2728.9,3090.985,-1309.105,64.55887096774194,0.4566843253349953,163.0
86818-MAH,Female,29,Yes,Maharashtra,8,22,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,Stayed,Others,Others,0,Young Adult,13-24 Months,Growing,120.58545454545455,802.93,2652.88,0.0315694641295497,31.67617910447761,High,1,4,1,0,1,1,0,1,0,0,1,0,84.08863636363637,-0.3386363636363683,0.0,0.3026635204004704,High Value,2428.75,3249.5820634920638,-596.7020634920636,64.55887096774194,0.5676223122468058,237.0
57256-BIH,Female,18,No,Bihar,9,7,NO DEAL,Yes,No,No,No Type,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,Others,Others,0,Teen,7-12 Months,Growing,9.508571428571427,9.36,66.56,0.2982271634615385,3.353148614609572,High,1,1,0,0,1,0,0,0,0,0,0,0,8.171428571428573,11.678571428571429,0.0,0.140625,Low Value,357.3,2790.485327380952,-2723.9253273809522,64.55887096774194,0.04019943907759427,325.0
65431-CHH,Female,31,No,Chhattisgarh,12,24,Deal 5,Yes,No,No,No Type,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,1,Middle Age,13-24 Months,Growing,5.252916666666667,49.72,126.07,0.1614182596969937,6.195085995085995,High,1,1,0,0,1,0,0,0,0,0,0,0,3.18125,17.168750000000003,0.0,0.394384072340763,Low Value,630.85,2948.445254237288,-2822.3752542372877,64.55887096774194,0.10345902150202556,53.0
13829-PUN,Female,34,Yes,Punjab,12,26,NO DEAL,No,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,1,Middle Age,25-48 Months,Established,1.1730769230769231,0.0,30.5,1.0,1.0,High,1,2,0,1,0,0,0,1,1,0,0,0,1.1730769230769231,29.32692307692308,0.0,0.0,Low Value,1037.0,2975.6264912280703,-2945.1264912280703,64.55887096774194,0.010127765659083826,339.0
19279-UTT,Female,35,No,Uttar Pradesh,14,18,NO DEAL,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,Stayed,Others,Others,0,Middle Age,13-24 Months,Growing,422.44166666666666,1947.2,7603.95,0.0136376488535563,73.32642237222757,High,1,7,3,3,1,0,1,1,0,0,1,0,314.2638888888889,-210.56388888888893,0.0,0.2560774334391993,Very High Value,3629.5,3041.5530683624797,4562.3969316375205,64.46928520877566,0.8976316609535681,70.0
27129-TAM,Male,44,Yes,Tamil Nadu,0,23,NO DEAL,Yes,No,No,No Type,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,Stayed,Others,Others,0,Middle Age,13-24 Months,Growing,93.66956521739132,1063.8,2154.4,0.0094689936873375,105.60784313725492,No Referral,0,1,0,0,1,0,1,0,0,0,0,0,47.417391304347824,-27.017391304347825,0.0,0.4937801708132194,High Value,897.5999999999999,3072.9106666666667,-918.5106666666666,61.249883653286794,0.5057650358367093,302.0
81327-JHA,Female,69,Yes,Jharkhand,6,3,Deal 3,Yes,No,No,No Type,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,Others,Others,0,Elder,0-6 Months,New,476.9333333333333,980.2,1409.55,0.0136986301369863,72.99999999999999,High,1,1,0,0,1,0,1,0,0,0,1,0,157.28333333333333,-137.68333333333334,0.0450354985694606,0.6850712887894884,Medium Value,1352.4,2862.4046902654864,-1431.6046902654864,64.46928520877566,0.404799002804612,68.0
42012-UTT,Female,49,No,Uttar Pradesh,8,2,NO DEAL,Yes,No,No,No Type,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,Stayed,Others,Others,0,Senior,0-6 Months,New,2022.905,2648.91,4045.81,0.0048692350851868,205.3710659898477,High,1,1,0,0,1,0,1,0,0,0,0,0,698.45,-678.75,0.0,0.654729213680326,High Value,965.3,3041.5530683624797,1004.2569316375202,61.249883653286794,0.6944531006544095,191.0
79321-MAH,Female,22,Yes,Maharashtra,4,8,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,Stayed,Others,Others,0,Young Adult,7-12 Months,Growing,604.865,1591.37,4838.92,0.0188471807758756,53.05833333333333,Medium,1,5,3,0,1,0,1,1,0,0,0,0,405.94375,-314.74375000000003,0.0,0.3288688385011531,Very High Value,2006.4,3249.5820634920638,1589.3379365079363,64.46928520877566,0.752415082580243,144.0
82811-HAR,Female,46,Yes,Haryana,2,18,Deal 2,Yes,No,No,No Type,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,Stayed,Others,Others,0,Senior,13-24 Months,Growing,185.01777777777775,2429.42,3330.32,0.0061405510581565,162.8518337408313,Low,1,1,0,0,1,0,1,0,0,0,0,0,50.05,-29.6,0.0,0.7294854548511854,High Value,940.7,3015.4763065326633,314.84369346733683,64.46928520877566,0.637114365846058,136.0
36568-HAR,Male,26,Yes,Haryana,7,8,NO DEAL,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7942.15,0.0,0,2888.82,10830.97,Stayed,Others,Others,0,Young Adult,7-12 Months,Growing,1353.87125,2888.82,10830.97,-0.0001846556679595,-5415.485,High,1,10,3,4,1,1,1,1,1,0,0,0,992.76875,-994.76875,0.0,0.266718493357474,Very High Value,-52.0,3015.4763065326633,7815.493693467336,64.46928520877566,0.9948582112807728,2.0
62683-UTT,Female,30,No,Uttar Pradesh,12,20,NO DEAL,Yes,No,No,No Type,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,Others,Others,0,Young Adult,13-24 Months,Growing,143.0955,1549.04,2831.38,0.007180519303542,139.2656934306569,High,1,1,0,0,1,0,1,0,0,0,0,0,67.17,-46.620000000000005,0.0227259193092154,0.5412609061780419,High Value,616.5,3041.5530683624797,-179.64306836247988,64.46928520877566,0.5905266438142723,258.0
18223-MAD,Male,32,No,Madhya Pradesh,14,2,NO DEAL,No,No,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,Stayed,Others,Others,0,Middle Age,0-6 Months,New,412.7,0.0,825.4,0.0477344317906469,20.9492385786802,High,1,4,0,3,0,0,1,1,1,0,1,0,412.7,-373.3,0.0,0.0,Medium Value,1260.8,3090.985,-2265.585,61.249883653286794,0.2966656279214709,211.0
41111-MAH,Female,32,No,Maharashtra,10,8,NO DEAL,Yes,Yes,No,No Type,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,Stayed,Others,Others,0,Middle Age,7-12 Months,Growing,298.45875,1317.52,2387.67,0.0105123404825624,95.12629482071712,High,1,2,0,0,1,1,1,0,0,0,1,0,133.76875,-108.66875000000002,0.0,0.5518015471149698,High Value,803.2,3249.5820634920638,-861.9120634920637,61.249883653286794,0.5338111561234029,255.0
74542-MAH,Female,41,No,Maharashtra,15,16,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,Stayed,Others,Others,0,Middle Age,13-24 Months,Growing,327.4375,279.4,5239.0,0.0171406757014697,58.34075723830736,High,1,5,1,1,1,1,0,1,1,0,1,0,309.975,-220.175,0.0,0.0533307883183813,Very High Value,3681.8,3249.5820634920638,1989.4179365079362,64.55887096774194,0.7737612963540044,130.0
18842-HAR,Male,56,Yes,Haryana,2,30,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,Stayed,Others,Others,0,Senior,25-48 Months,Established,218.822,967.01,6564.66,0.0144333446058135,69.2840105540897,Low,1,6,1,2,1,1,0,1,1,0,1,0,186.5883333333333,-91.83833333333332,0.0,0.1473054202350159,Very High Value,5306.0,3015.4763065326633,3549.1836934673365,64.55887096774194,0.8438765970707386,64.0
12210-DEL,Female,52,No,Delhi,0,31,NO DEAL,Yes,No,No,No Type,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,Stayed,Others,Others,0,Senior,25-48 Months,Established,14.70516129032258,231.36,455.86,0.0445312157241258,22.45615763546798,No Referral,0,1,0,0,1,0,1,0,0,0,0,0,7.241935483870968,13.058064516129033,0.0,0.5075242398982144,Low Value,1055.6,3304.1361417322832,-2848.276141732283,61.249883653286794,0.2151760673106887,100.0
76566-UTT,Male,61,No,Uttar Pradesh,1,20,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.02,2611.02,Stayed,Others,Others,0,Elder,13-24 Months,Growing,130.551,682.02,2611.02,0.0290116506192982,34.46891089108911,Low,1,3,0,0,1,1,0,1,0,0,1,0,96.45,-20.700000000000003,0.0,0.2612082634372774,High Value,4620.75,3041.5530683624797,-430.53306836247975,64.55887096774194,0.5629479588656903,274.0
73036-JAM,Female,66,Yes,Jammu & Kashmir,10,21,NO DEAL,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,1,Elder,13-24 Months,Growing,8.527619047619048,87.98,179.08,0.2750167522894795,3.636142131979696,High,1,3,0,1,1,0,0,1,1,0,1,0,4.338095238095238,44.911904761904765,0.0,0.4912888094706276,Low Value,3250.5,2681.7855625,-2502.7055625000003,64.55887096774194,0.12371455282019321,272.0
42964-MAH,Female,25,Yes,Maharashtra,3,25,Deal 3,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.52,Stayed,Others,Others,0,Young Adult,25-48 Months,Established,135.9808,1320.57,3399.52,0.0230032475172965,43.47212276214834,Medium,1,8,3,3,1,0,1,1,0,0,0,0,83.15799999999999,-4.957999999999984,0.0,0.3884577822751447,High Value,1955.0,3249.5820634920638,149.93793650793623,64.46928520877566,0.6430352134621378,200.0
18220-JHA,Male,35,No,Jharkhand,12,19,NO DEAL,Yes,Yes,No,No Type,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,Others,Others,0,Middle Age,13-24 Months,Growing,62.02263157894737,592.25,1134.01,0.021638960311601,46.21294117647059,High,1,2,0,0,1,1,1,0,0,0,0,0,33.189473684210526,-7.689473684210526,0.070440849984142,0.5025754605704199,Medium Value,892.5,2862.4046902654864,-1683.9746902654863,61.249883653286794,0.3649111872857588,73.0
47645-PUN,Male,51,Yes,Punjab,15,14,NO DEAL,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,Stayed,Others,Others,0,Senior,13-24 Months,Growing,123.38214285714284,161.25,1682.4499999999998,0.0356615625090456,28.0413961038961,High,1,5,0,3,1,0,1,1,1,0,1,0,115.07142857142856,-53.47142857142857,0.0278708876474239,0.0933510869250586,Medium Value,3141.6,2975.6264912280703,-1248.2764912280704,64.46928520877566,0.4497507011530072,199.0
82015-UTT,Female,52,No,Uttar Pradesh,7,23,NO DEAL,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,Stayed,Others,Others,0,Senior,13-24 Months,Growing,53.48652173913044,0.0,1217.93,0.0365797153285264,27.33755555555556,High,1,5,0,4,0,0,0,1,1,0,1,0,54.0195652173913,-9.019565217391303,0.0098676003058473,0.0,Medium Value,2340.0,3041.5530683624797,-1811.3630683624797,64.55887096774194,0.3730133998130259,390.0
15644-ASS,Female,22,No,Assam,6,3,NO DEAL,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.12,Stayed,Others,Others,0,Young Adult,0-6 Months,New,2882.0400000000004,2329.92,8646.12,0.0098483481607935,101.5398708162067,High,1,9,3,3,1,1,1,1,0,0,1,0,2105.4,-2020.25,0.0,0.2694757879835117,Very High Value,1873.3,2896.9773381294963,5749.1426618705045,61.249883653286794,0.9459333125584294,9.0
